indicator,indicator_type,ip_version,prefix,asn,organization,country,malicious,confidence,category,source,first_seen,last_seen,malware
154.94.236.0/24,MaliciousASNIPv4Prefix,4,154.94.236.0/24,401701,cognetcloud INC,US,true,high,malicious ASN associated prefix,Spamhaus ASN-DROP + BGP,,,
154.94.237.0/24,MaliciousASNIPv4Prefix,4,154.94.237.0/24,401701,cognetcloud INC,US,true,high,malicious ASN associated prefix,Spamhaus ASN-DROP + BGP,,,
154.94.238.0/23,MaliciousASNIPv4Prefix,4,154.94.238.0/23,401701,cognetcloud INC,US,true,high,malicious ASN associated prefix,Spamhaus ASN-DROP + BGP,,,
154.94.238.0/24,MaliciousASNIPv4Prefix,4,154.94.238.0/24,401701,cognetcloud INC,US,true,high,malicious ASN associated prefix,Spamhaus ASN-DROP + BGP,,,
154.94.239.0/24,MaliciousASNIPv4Prefix,4,154.94.239.0/24,401701,cognetcloud INC,US,true,high,malicious ASN associated prefix,Spamhaus ASN-DROP + BGP,,,
154.94.38.0/24,MaliciousASNIPv4Prefix,4,154.94.38.0/24,63023,GTHost,US,true,high,malicious ASN associated prefix,Spamhaus ASN-DROP + BGP,,,
154.94.41.0/24,MaliciousASNIPv4Prefix,4,154.94.41.0/24,62563,GLOBALTELEHOST Corp.,CA,true,high,malicious ASN associated prefix,Spamhaus ASN-DROP + BGP,,,
154.95.122.0/23,MaliciousASNIPv4Prefix,4,154.95.122.0/23,138915,Kaopu Cloud HK Limited,HK,true,high,malicious ASN associated prefix,Spamhaus ASN-DROP + BGP,,,
154.95.64.0/24,MaliciousASNIPv4Prefix,4,154.95.64.0/24,138915,Kaopu Cloud HK Limited,HK,true,high,malicious ASN associated prefix,Spamhaus ASN-DROP + BGP,,,
154.95.65.0/24,MaliciousASNIPv4Prefix,4,154.95.65.0/24,138915,Kaopu Cloud HK Limited,HK,true,high,malicious ASN associated prefix,Spamhaus ASN-DROP + BGP,,,
154.95.68.0/24,MaliciousASNIPv4Prefix,4,154.95.68.0/24,138915,Kaopu Cloud HK Limited,HK,true,high,malicious ASN associated prefix,Spamhaus ASN-DROP + BGP,,,
154.95.69.0/24,MaliciousASNIPv4Prefix,4,154.95.69.0/24,138915,Kaopu Cloud HK Limited,HK,true,high,malicious ASN associated prefix,Spamhaus ASN-DROP + BGP,,,
154.95.70.0/23,MaliciousASNIPv4Prefix,4,154.95.70.0/23,138915,Kaopu Cloud HK Limited,HK,true,high,malicious ASN associated prefix,Spamhaus ASN-DROP + BGP,,,
154.95.76.0/24,MaliciousASNIPv4Prefix,4,154.95.76.0/24,138915,Kaopu Cloud HK Limited,HK,true,high,malicious ASN associated prefix,Spamhaus ASN-DROP + BGP,,,
154.95.77.0/24,MaliciousASNIPv4Prefix,4,154.95.77.0/24,138915,Kaopu Cloud HK Limited,HK,true,high,malicious ASN associated prefix,Spamhaus ASN-DROP + BGP,,,
154.95.78.0/24,MaliciousASNIPv4Prefix,4,154.95.78.0/24,138915,Kaopu Cloud HK Limited,HK,true,high,malicious ASN associated prefix,Spamhaus ASN-DROP + BGP,,,
154.95.79.0/24,MaliciousASNIPv4Prefix,4,154.95.79.0/24,138915,Kaopu Cloud HK Limited,HK,true,high,malicious ASN associated prefix,Spamhaus ASN-DROP + BGP,,,
154.95.80.0/24,MaliciousASNIPv4Prefix,4,154.95.80.0/24,138915,Kaopu Cloud HK Limited,HK,true,high,malicious ASN associated prefix,Spamhaus ASN-DROP + BGP,,,
154.95.81.0/24,MaliciousASNIPv4Prefix,4,154.95.81.0/24,138915,Kaopu Cloud HK Limited,HK,true,high,malicious ASN associated prefix,Spamhaus ASN-DROP + BGP,,,
154.95.82.0/24,MaliciousASNIPv4Prefix,4,154.95.82.0/24,138915,Kaopu Cloud HK Limited,HK,true,high,malicious ASN associated prefix,Spamhaus ASN-DROP + BGP,,,
154.95.83.0/24,MaliciousASNIPv4Prefix,4,154.95.83.0/24,138915,Kaopu Cloud HK Limited,HK,true,high,malicious ASN associated prefix,Spamhaus ASN-DROP + BGP,,,
154.95.84.0/24,MaliciousASNIPv4Prefix,4,154.95.84.0/24,138915,Kaopu Cloud HK Limited,HK,true,high,malicious ASN associated prefix,Spamhaus ASN-DROP + BGP,,,
154.95.85.0/24,MaliciousASNIPv4Prefix,4,154.95.85.0/24,138915,Kaopu Cloud HK Limited,HK,true,high,malicious ASN associated prefix,Spamhaus ASN-DROP + BGP,,,
154.95.86.0/23,MaliciousASNIPv4Prefix,4,154.95.86.0/23,138915,Kaopu Cloud HK Limited,HK,true,high,malicious ASN associated prefix,Spamhaus ASN-DROP + BGP,,,
154.95.88.0/24,MaliciousASNIPv4Prefix,4,154.95.88.0/24,138915,Kaopu Cloud HK Limited,HK,true,high,malicious ASN associated prefix,Spamhaus ASN-DROP + BGP,,,
154.95.89.0/24,MaliciousASNIPv4Prefix,4,154.95.89.0/24,138915,Kaopu Cloud HK Limited,HK,true,high,malicious ASN associated prefix,Spamhaus ASN-DROP + BGP,,,
154.95.90.0/24,MaliciousASNIPv4Prefix,4,154.95.90.0/24,138915,Kaopu Cloud HK Limited,HK,true,high,malicious ASN associated prefix,Spamhaus ASN-DROP + BGP,,,
154.95.91.0/24,MaliciousASNIPv4Prefix,4,154.95.91.0/24,138915,Kaopu Cloud HK Limited,HK,true,high,malicious ASN associated prefix,Spamhaus ASN-DROP + BGP,,,
154.95.92.0/24,MaliciousASNIPv4Prefix,4,154.95.92.0/24,138915,Kaopu Cloud HK Limited,HK,true,high,malicious ASN associated prefix,Spamhaus ASN-DROP + BGP,,,
154.95.93.0/24,MaliciousASNIPv4Prefix,4,154.95.93.0/24,138915,Kaopu Cloud HK Limited,HK,true,high,malicious ASN associated prefix,Spamhaus ASN-DROP + BGP,,,
154.95.94.0/24,MaliciousASNIPv4Prefix,4,154.95.94.0/24,138915,Kaopu Cloud HK Limited,HK,true,high,malicious ASN associated prefix,Spamhaus ASN-DROP + BGP,,,
155.103.68.0/24,MaliciousASNIPv4Prefix,4,155.103.68.0/24,44382,"Fiba Cloud Operation Company, LLC",US,true,high,malicious ASN associated prefix,Spamhaus ASN-DROP + BGP,,,
155.103.69.0/24,MaliciousASNIPv4Prefix,4,155.103.69.0/24,44382,"Fiba Cloud Operation Company, LLC",US,true,high,malicious ASN associated prefix,Spamhaus ASN-DROP + BGP,,,
155.103.70.0/24,MaliciousASNIPv4Prefix,4,155.103.70.0/24,44382,"Fiba Cloud Operation Company, LLC",US,true,high,malicious ASN associated prefix,Spamhaus ASN-DROP + BGP,,,
155.103.71.0/24,MaliciousASNIPv4Prefix,4,155.103.71.0/24,44382,"Fiba Cloud Operation Company, LLC",US,true,high,malicious ASN associated prefix,Spamhaus ASN-DROP + BGP,,,
155.117.103.0/24,MaliciousASNIPv4Prefix,4,155.117.103.0/24,399073,BUNNY TECHNOLOGY LLC,US,true,high,malicious ASN associated prefix,Spamhaus ASN-DROP + BGP,,,
155.117.128.0/24,MaliciousASNIPv4Prefix,4,155.117.128.0/24,399073,BUNNY TECHNOLOGY LLC,US,true,high,malicious ASN associated prefix,Spamhaus ASN-DROP + BGP,,,
155.117.129.0/24,MaliciousASNIPv4Prefix,4,155.117.129.0/24,399073,BUNNY TECHNOLOGY LLC,US,true,high,malicious ASN associated prefix,Spamhaus ASN-DROP + BGP,,,
