ip,source,source_url,last_seen,asn,organization,country
137.184.134.45,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,14061,DigitalOcean LLC,US
137.184.140.91,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,14061,DigitalOcean LLC,US
137.184.143.217,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,14061,DigitalOcean LLC,US
137.184.16.18,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,14061,DigitalOcean LLC,US
137.184.162.54,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,14061,DigitalOcean LLC,US
137.184.167.3,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,14061,DigitalOcean LLC,US
137.184.173.128,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,14061,DigitalOcean LLC,US
137.184.179.75,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,14061,DigitalOcean LLC,US
137.184.181.186,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,14061,DigitalOcean LLC,US
137.184.187.16,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,14061,DigitalOcean LLC,US
137.184.190.194,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,14061,DigitalOcean LLC,US
137.184.190.234,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,14061,DigitalOcean LLC,US
137.184.208.127,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,14061,DigitalOcean LLC,US
137.184.210.41,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,14061,DigitalOcean LLC,US
137.184.2.133,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,14061,DigitalOcean LLC,US
137.184.21.43,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,14061,DigitalOcean LLC,US
